symbol,entry_time,exit_time,entry_price,exit_price,exit_pnl_pct,peak_pnl_pct,trough_pnl_pct,exit_reason,exit_reason_cat,n_portfolios,total_minutes_held,minutes_to_peak,live_config_id
KLAR,2026-03-09T19:07:55.431364+00:00,2026-03-10T14:50:38.719321+00:00,14.165,14.829999923706055,4.6947,4.7653,-0.8119,signal,vdd_signal,2,313,312,lc_6c9327c687ac
LYFT,2026-03-09T19:12:42.141593+00:00,2026-03-11T13:31:30.154603+00:00,13.525,13.550000190734863,0.1848,2.5508,-2.6824,signal,vdd_signal,2,746,136,lc_6c9327c687ac
LMT,2026-03-09T19:22:21.017268+00:00,2026-03-10T15:15:57.550313+00:00,672.55,657.6300048828125,-2.2184,-0.7553,-3.6473,signal,vdd_signal,5,649,3,lc_4eba845ea079
CASY,2026-03-09T19:36:13.762302+00:00,2026-03-11T08:00:55.057415+00:00,658.9675,682.385,3.5537,5.1387,-2.5749,signal,vdd_signal,5,570,394,lc_4eba845ea079
BA,2026-03-09T20:01:58.143593+00:00,2026-03-10T17:27:44.488169+00:00,225.04,223.8206024169922,-0.5419,0.3999,-2.6029,signal,vdd_signal,3,667,239,lc_4eba845ea079
BA,2026-03-09T20:02:15.724370+00:00,2026-03-10T17:27:46.261078+00:00,225.04,223.8206024169922,-0.5419,0.3999,-2.6029,signal,vdd_signal,1,666,238,lc_6c9327c687ac
DOMO,2026-03-09T20:08:15.972164+00:00,2026-03-10T16:02:47.747926+00:00,4.27,4.329999923706055,1.4052,4.37,-3.7471,signal,vdd_signal,1,106,4,lc_72f6df86086e
SOFI,2026-03-09T20:08:16.013186+00:00,2026-03-11T16:47:21.482438+00:00,18.23,18.260000228881836,0.1646,4.5529,-1.3988,signal,vdd_signal,1,1628,442,lc_72f6df86086e
AZO,2026-03-09T20:08:16.040274+00:00,2026-03-10T19:06:42.354605+00:00,3673.158,3757.43505859375,2.2944,2.5646,-0.6043,signal,vdd_signal,1,360,200,lc_72f6df86086e
CRC,2026-03-09T20:08:16.060735+00:00,2026-03-10T19:00:41.029470+00:00,64.64,61.41,-4.9969,0.5569,-4.9969,alpaca_stop_fill (stop_price=61.41),alpaca_stop,1,327,4,lc_72f6df86086e
ORCL,2026-03-09T20:08:16.081302+00:00,2026-03-11T14:39:02.960156+00:00,148.06,165.945,12.0796,15.7774,0.3219,fractional_remainder_liquidated,cleanup,1,1798,1745,lc_72f6df86086e
AMRZ,2026-03-09T20:08:16.102432+00:00,2026-03-10T16:55:17.895996+00:00,56.87,59.47999954223633,4.5894,6.383,2.3563,signal,vdd_signal,1,288,2,lc_72f6df86086e
PBR,2026-03-09T20:08:16.123134+00:00,2026-03-11T20:02:16.504916+00:00,18.229917,18.989999771118164,4.1694,4.1969,-10.5865,signal,vdd_signal,1,1627,1615,lc_72f6df86086e
NFJ,2026-03-09T20:08:16.143633+00:00,2026-03-11T16:37:48.434889+00:00,12.84,12.970000267028809,1.0125,1.2461,-0.6231,signal,vdd_signal,1,264,0,lc_72f6df86086e
TMC,2026-03-09T20:08:16.164289+00:00,2026-03-10T15:42:33.894161+00:00,6.11,6.434999942779541,5.3191,5.5646,1.2275,signal,vdd_signal,1,393,161,lc_72f6df86086e
CBOE,2026-03-09T20:08:16.185142+00:00,2026-03-10T13:42:39.557872+00:00,302.49,287.01,-5.1175,2.4827,-4.8613,alpaca_stop_fill (stop_price=287.37),alpaca_stop,1,63,44,lc_72f6df86086e
KLAR,2026-03-09T20:08:17.388202+00:00,2026-03-10T19:15:11.943754+00:00,14.17,15.09000015258789,6.4926,6.8102,0.0353,signal,vdd_signal,1,518,385,lc_f41fd383423e
UNFI,2026-03-10T13:33:28.634228+00:00,2026-03-10T13:35:32.006467+00:00,39.0,37.05,-5.0,-5.6923,-7.6923,guard_stop,guard_stop,2,1,0,lc_ab8aa7f25745
UNFI,2026-03-10T13:34:15.691502+00:00,2026-03-10T13:35:32.784341+00:00,38.65,36.717499999999994,-5.0,-6.8564,-6.8564,guard_stop,guard_stop,1,0,0,lc_72f6df86086e
BA,2026-03-10T13:34:15.722591+00:00,2026-03-10T17:27:51.950982+00:00,223.24806,223.8206024169922,0.2565,1.0983,-1.8211,signal,vdd_signal,1,232,84,lc_72f6df86086e
EQIX,2026-03-10T13:35:48.325713+00:00,2026-03-10T17:51:22.238222+00:00,946.0,964.2249755859375,1.9265,1.9265,-0.1004,signal,vdd_signal,2,223,222,lc_ab8aa7f25745
CDE,2026-03-10T13:43:12.354857+00:00,2026-03-10T15:44:45.701698+00:00,23.62,23.940000534057617,1.3548,1.376,-1.5665,signal,vdd_signal,1,120,120,lc_72f6df86086e
GILD,2026-03-10T13:55:51.987207+00:00,2026-03-10T15:49:37.723791+00:00,148.005,149.08999633789062,0.7331,0.7331,-0.7398,signal,vdd_signal,3,113,112,lc_ab8aa7f25745
KSS,2026-03-10T14:00:20.917791+00:00,2026-03-10T16:38:29.450552+00:00,15.56,14.782,-5.0,8.6652,-5.045,guard_stop,guard_stop,1,157,19,lc_72f6df86086e
INSE,2026-03-10T14:00:20.951128+00:00,2026-03-10T18:35:29.678623+00:00,8.03,7.498367,-6.6206,3.1133,-5.2927,alpaca_stop_fill (stop_price=7.63),alpaca_stop,1,77,5,lc_72f6df86086e
TSM,2026-03-10T14:24:11.332129+00:00,2026-03-10T17:06:09.076293+00:00,347.1837,352.239990234375,1.4564,1.7846,0.0522,signal,vdd_signal,1,161,77,lc_d58c66d24787
TKO,2026-03-10T14:31:23.225309+00:00,2026-03-11T19:55:41.196675+00:00,208.735,201.14999389648438,-3.6338,0.915,-4.7357,signal,vdd_signal,2,654,165,lc_ab8aa7f25745
SMTC,2026-03-10T14:40:54.420062+00:00,2026-03-11T17:12:22.629139+00:00,87.1666,87.48500061035156,0.3653,2.9752,-1.78,signal,vdd_signal,2,477,300,lc_ab8aa7f25745
BMY,2026-03-10T14:58:57.942957+00:00,2026-03-10T16:55:26.076908+00:00,60.3,60.789798736572266,0.8123,0.8292,-0.1161,signal,vdd_signal,3,116,116,lc_ab8aa7f25745
